schema_version,record_id,source_event_id,symbol,timestamp,received_at,open,high,low,close,volume,currency,interval,regime,source,is_synthetic
1.0.0,d5083fbe-b452-582c-afd1-1ec9195b356b,synthetic:1.0.0:QTECH:2023-01-02,QTECH,2023-01-02T21:00:00Z,2023-01-02T21:02:00Z,99.982716,100.316582,99.338794,99.671621,2848804,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,cfdd7fea-18c7-5e75-9ee4-8e405f064db2,synthetic:1.0.0:QGOLD:2023-01-02,QGOLD,2023-01-02T21:00:00Z,2023-01-02T21:02:00Z,179.964636,180.618085,178.789982,179.441532,1544159,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,eb5666a1-58a8-5ca8-839a-d1476347debc,synthetic:1.0.0:QWTI:2023-01-02,QWTI,2023-01-02T21:00:00Z,2023-01-02T21:02:00Z,74.907865,75.915008,74.593535,75.597783,2409754,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,18679c38-1f8c-55a5-8c7e-99f738691a2c,synthetic:1.0.0:QCASH:2023-01-02,QCASH,2023-01-02T21:00:00Z,2023-01-02T21:02:00Z,99.999259,100.043270,99.962002,100.006011,913618,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,2ac47eda-b713-5cab-9e4b-61220feae2df,synthetic:1.0.0:QTECH:2023-01-03,QTECH,2023-01-03T21:00:00Z,2023-01-03T21:02:00Z,99.697737,101.550639,99.254794,101.101459,4683283,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,6864076b-3d4c-5d5e-8fdd-aabf8210ca01,synthetic:1.0.0:QGOLD:2023-01-03,QGOLD,2023-01-03T21:00:00Z,2023-01-03T21:02:00Z,179.509714,180.018439,176.702138,177.204330,2728038,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,a39a8a7a-79c2-5eb8-b3b1-184207f7a72f,synthetic:1.0.0:QWTI:2023-01-03,QWTI,2023-01-03T21:00:00Z,2023-01-03T21:02:00Z,75.756819,76.713355,75.281041,76.234576,2552430,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,02e2b6ea-87e7-5210-92f3-a5d50e9403df,synthetic:1.0.0:QCASH:2023-01-03,QCASH,2023-01-03T21:00:00Z,2023-01-03T21:02:00Z,100.006889,100.051418,99.966267,100.010794,721959,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,7993510b-e614-5b42-956b-e0282e3582e8,synthetic:1.0.0:QTECH:2023-01-04,QTECH,2023-01-04T21:00:00Z,2023-01-04T21:02:00Z,101.263765,102.334097,101.034987,102.103422,3932292,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,93449d7b-06d9-5253-916d-b19b33a2f4f6,synthetic:1.0.0:QGOLD:2023-01-04,QGOLD,2023-01-04T21:00:00Z,2023-01-04T21:02:00Z,177.313529,177.716540,176.497093,176.899162,1138508,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,b1c01214-31d6-587d-a0d0-1d4f9b021aba,synthetic:1.0.0:QWTI:2023-01-04,QWTI,2023-01-04T21:00:00Z,2023-01-04T21:02:00Z,76.388178,77.419000,76.148168,77.176514,2286662,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,3b3ceb11-5da3-501a-ae45-f0bb90c289b8,synthetic:1.0.0:QCASH:2023-01-04,QCASH,2023-01-04T21:00:00Z,2023-01-04T21:02:00Z,100.010090,100.053688,99.973230,100.016826,860746,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,6390c813-ea81-570d-94f3-89020b5031b4,synthetic:1.0.0:QTECH:2023-01-05,QTECH,2023-01-05T21:00:00Z,2023-01-05T21:02:00Z,102.164453,102.548875,100.848152,101.229054,3953031,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,98df19b9-a121-5c9a-bd52-bd9c423850f2,synthetic:1.0.0:QGOLD:2023-01-05,QGOLD,2023-01-05T21:00:00Z,2023-01-05T21:02:00Z,176.831858,177.964007,176.358720,177.489111,1311498,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,549ffc0a-98c0-598b-8c41-83fd9452958e,synthetic:1.0.0:QWTI:2023-01-05,QWTI,2023-01-05T21:00:00Z,2023-01-05T21:02:00Z,77.128694,77.485623,76.829130,77.185836,1435366,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,59ead56b-05fe-5214-bdbd-2a6c0b903f0a,synthetic:1.0.0:QCASH:2023-01-05,QCASH,2023-01-05T21:00:00Z,2023-01-05T21:02:00Z,100.017293,100.057043,99.979429,100.019179,565900,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,69914074-a614-5e42-a121-271396b324ee,synthetic:1.0.0:QTECH:2023-01-06,QTECH,2023-01-06T21:00:00Z,2023-01-06T21:02:00Z,101.240162,102.054829,100.960856,101.774050,2923615,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,f9188a77-24b8-5997-a45c-6a2b70d5636e,synthetic:1.0.0:QGOLD:2023-01-06,QGOLD,2023-01-06T21:00:00Z,2023-01-06T21:02:00Z,177.593043,178.118953,177.108674,177.634471,1064049,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,ed7ec28f-377e-5100-afe9-e8158c759921,synthetic:1.0.0:QWTI:2023-01-06,QWTI,2023-01-06T21:00:00Z,2023-01-06T21:02:00Z,77.065027,77.325734,73.976852,74.227961,5213006,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,acd1f97e-4407-5829-9c8f-83fecaef0b6c,synthetic:1.0.0:QCASH:2023-01-06,QCASH,2023-01-06T21:00:00Z,2023-01-06T21:02:00Z,100.020520,100.059638,99.983102,100.022220,612997,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,e9f63b91-f854-5f01-aec8-4b1c63e1a932,synthetic:1.0.0:QTECH:2023-01-09,QTECH,2023-01-09T21:00:00Z,2023-01-09T21:02:00Z,101.925504,102.158396,100.202236,100.431716,4149787,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,855e7cf6-7d72-52d2-92ac-2cb10859799f,synthetic:1.0.0:QGOLD:2023-01-09,QGOLD,2023-01-09T21:00:00Z,2023-01-09T21:02:00Z,177.786842,178.299715,175.779612,176.288162,2310979,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,b9c5893b-2c67-51ef-a47d-338a937e9e81,synthetic:1.0.0:QWTI:2023-01-09,QWTI,2023-01-09T21:00:00Z,2023-01-09T21:02:00Z,74.163761,74.674913,73.711533,74.222327,1234468,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,1bb77366-1d8a-5f81-acba-d5da14e15055,synthetic:1.0.0:QCASH:2023-01-09,QCASH,2023-01-09T21:00:00Z,2023-01-09T21:02:00Z,100.023196,100.062446,99.986180,100.025429,659376,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,9f9d2eee-dda7-57c0-a493-4eeec57297bc,synthetic:1.0.0:QTECH:2023-01-10,QTECH,2023-01-10T21:00:00Z,2023-01-10T21:02:00Z,100.444752,100.836046,99.324009,99.712451,3637687,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,3062ee48-8a6a-5453-af4b-7698c34dd792,synthetic:1.0.0:QGOLD:2023-01-10,QGOLD,2023-01-10T21:00:00Z,2023-01-10T21:02:00Z,176.148730,176.683339,175.025072,175.557887,1743365,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,741f6099-e85a-5f7f-ba2c-12b8104aad6c,synthetic:1.0.0:QWTI:2023-01-10,QWTI,2023-01-10T21:00:00Z,2023-01-10T21:02:00Z,74.262237,74.545165,73.894451,74.177054,1299382,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,8470a729-6dad-563d-b896-05716260c4b6,synthetic:1.0.0:QCASH:2023-01-10,QCASH,2023-01-10T21:00:00Z,2023-01-10T21:02:00Z,100.025840,100.066746,99.988338,100.029242,810709,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,ea276523-a3b1-5c8a-9d4a-60a58b811e9e,synthetic:1.0.0:QTECH:2023-01-11,QTECH,2023-01-11T21:00:00Z,2023-01-11T21:02:00Z,99.768026,100.027148,98.906936,99.164490,2902145,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,8f61b65f-36e7-5f2a-86d0-1dbffdfbc8dd,synthetic:1.0.0:QGOLD:2023-01-11,QGOLD,2023-01-11T21:00:00Z,2023-01-11T21:02:00Z,175.573047,176.833723,175.103164,176.361730,1661167,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,bada772f-61be-57be-bb83-65995c93d125,synthetic:1.0.0:QWTI:2023-01-11,QWTI,2023-01-11T21:00:00Z,2023-01-11T21:02:00Z,74.245537,74.730616,73.328979,73.811220,1764256,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,4e3b0ecd-d289-54f5-866e-6c99e8abfd4f,synthetic:1.0.0:QCASH:2023-01-11,QCASH,2023-01-11T21:00:00Z,2023-01-11T21:02:00Z,100.027592,100.071180,99.990136,100.033721,697918,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,d70fd81c-a692-5c41-b8ed-9671b08b7fd3,synthetic:1.0.0:QTECH:2023-01-12,QTECH,2023-01-12T21:00:00Z,2023-01-12T21:02:00Z,99.304753,100.292995,98.853135,99.838947,3225621,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,48519c06-c5a8-57b7-887f-5e5aa67a255d,synthetic:1.0.0:QGOLD:2023-01-12,QGOLD,2023-01-12T21:00:00Z,2023-01-12T21:02:00Z,176.237985,176.703777,175.108084,175.572116,1602189,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,8f22eb18-82de-585c-9815-15fc0fbe424f,synthetic:1.0.0:QWTI:2023-01-12,QWTI,2023-01-12T21:00:00Z,2023-01-12T21:02:00Z,73.788031,75.475489,73.402043,75.082728,3300427,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,cde77919-905d-5ba2-90dd-642e5147041b,synthetic:1.0.0:QCASH:2023-01-12,QCASH,2023-01-12T21:00:00Z,2023-01-12T21:02:00Z,100.032539,100.074244,99.995329,100.037032,725924,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,b4dcb160-a4a8-50dc-93f4-82b00c652b64,synthetic:1.0.0:QTECH:2023-01-13,QTECH,2023-01-13T21:00:00Z,2023-01-13T21:02:00Z,99.938542,100.289086,98.234027,98.579806,4345859,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,4089d6a0-c620-556c-9b66-02874f04bfc1,synthetic:1.0.0:QGOLD:2023-01-13,QGOLD,2023-01-13T21:00:00Z,2023-01-13T21:02:00Z,175.463033,176.076814,174.980879,175.594299,926942,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,03eade67-b61a-5ffc-a049-344fe00b630b,synthetic:1.0.0:QWTI:2023-01-13,QWTI,2023-01-13T21:00:00Z,2023-01-13T21:02:00Z,75.043137,76.107930,74.801416,75.863567,2267520,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,54f68251-763b-5a99-b0c2-fd3739b6a64f,synthetic:1.0.0:QCASH:2023-01-13,QCASH,2023-01-13T21:00:00Z,2023-01-13T21:02:00Z,100.039525,100.080262,100.002454,100.043190,1004119,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,d6d521ea-7bc4-5898-a813-5a0ed5e79ada,synthetic:1.0.0:QTECH:2023-01-16,QTECH,2023-01-16T21:00:00Z,2023-01-16T21:02:00Z,98.635428,100.967005,98.279841,100.604321,5945207,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,77de59ab-13a1-55d1-ab72-fdc11e6dda66,synthetic:1.0.0:QGOLD:2023-01-16,QGOLD,2023-01-16T21:00:00Z,2023-01-16T21:02:00Z,175.652039,176.274820,174.909876,175.532232,1025312,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,2ac12ea9-3475-571a-b8a8-c4e5467d672e,synthetic:1.0.0:QWTI:2023-01-16,QWTI,2023-01-16T21:00:00Z,2023-01-16T21:02:00Z,76.050430,76.341205,75.217370,75.506064,1729735,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,7472bb2d-c033-55d6-9f93-97b180344eb9,synthetic:1.0.0:QCASH:2023-01-16,QCASH,2023-01-16T21:00:00Z,2023-01-16T21:02:00Z,100.042172,100.086793,100.004674,100.049293,814812,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,64409916-7409-5e36-8bdf-53d87d6e51d3,synthetic:1.0.0:QTECH:2023-01-17,QTECH,2023-01-17T21:00:00Z,2023-01-17T21:02:00Z,100.613656,101.393797,100.217508,100.996143,2830909,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,50607ec6-7473-50ef-ac9b-0a4f48537a08,synthetic:1.0.0:QGOLD:2023-01-17,QGOLD,2023-01-17T21:00:00Z,2023-01-17T21:02:00Z,175.611148,176.022907,174.117129,174.526345,1771998,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,996d8213-c8cd-5757-b957-29887280ea4c,synthetic:1.0.0:QWTI:2023-01-17,QWTI,2023-01-17T21:00:00Z,2023-01-17T21:02:00Z,75.445218,75.927324,74.782723,75.263669,1524225,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,efeffd98-a898-5cb2-a15a-14bd318fac7e,synthetic:1.0.0:QCASH:2023-01-17,QCASH,2023-01-17T21:00:00Z,2023-01-17T21:02:00Z,100.051540,100.091049,100.014385,100.053893,725645,USD,1d,normal,quantops_deterministic_synthetic_generator,True
1.0.0,895daef4-6bfe-5596-a115-fc749e59bd2f,synthetic:1.0.0:QTECH:2023-01-18,QTECH,2023-01-18T21:00:00Z,2023-01-18T21:02:00Z,101.030358,103.063079,100.590185,102.615998,5425384,USD,1d,normal,quantops_deterministic_synthetic_generator,True
